,officialnamestate,Month,RainSum
0,New South Wales,1,2.223591052874785
1,New South Wales,2,1.0039111729168049
2,New South Wales,3,2.52406257400494
3,New South Wales,4,1.6622737865761794
4,New South Wales,5,0.617027170654891
5,New South Wales,6,1.5204485727486465
6,New South Wales,7,0.73824564316144
7,New South Wales,8,0.8437841492290996
8,New South Wales,9,0.33034029438283063
9,New South Wales,10,1.2247137213082853
10,New South Wales,11,3.710935814566899
11,New South Wales,12,2.3548611670189357
12,Queensland,1,7.277745339940238
13,Queensland,2,4.975436095892482
14,Queensland,3,3.867728359977589
15,Queensland,4,1.4624912303305262
16,Queensland,5,0.7918981354933786
17,Queensland,6,0.35822456370947364
18,Queensland,7,1.427334468689304
19,Queensland,8,0.2576298824488964
20,Queensland,9,0.2511157902877193
21,Queensland,10,0.24433955964957554
22,Queensland,11,2.987950884428772
23,Queensland,12,5.015164692505263
24,South Australia,1,0.8829046483771494
25,South Australia,2,0.4173222157992448
26,South Australia,3,0.7157595579238312
27,South Australia,4,1.4424522798164465
28,South Australia,5,0.7986073645331817
29,South Australia,6,2.2985609469427315
30,South Australia,7,0.7181327297911041
31,South Australia,8,0.8532755463606652
32,South Australia,9,0.5139941278428781
33,South Australia,10,0.4344749206124769
34,South Australia,11,0.9805433204508077
35,South Australia,12,1.973625127544408
36,Tasmania,1,1.5104966741372248
37,Tasmania,2,2.2553288101247166
38,Tasmania,3,3.191909890220174
39,Tasmania,4,2.3740211722910054
40,Tasmania,5,2.7784946343676395
41,Tasmania,6,4.289206359227514
42,Tasmania,7,2.9034306335995903
43,Tasmania,8,2.4162314479006657
44,Tasmania,9,1.9175661463809524
45,Tasmania,10,2.9889913077316947
46,Tasmania,11,1.5754497423862435
47,Tasmania,12,2.420634929078341
48,Territories,1,6.957731969547722
49,Territories,2,8.14035346974227
50,Territories,3,3.078117725427336
51,Territories,4,2.8603092796907217
52,Territories,5,0.09318257421682741
53,Territories,6,0.7382130599725086
54,Territories,7,0.33867642268373793
55,Territories,8,0.05660126386764217
56,Territories,9,0.10353951975257732
57,Territories,10,0.3678417038909212
58,Territories,11,2.401580769460481
59,Territories,12,2.5613568306418357
60,Victoria,1,1.200744420538816
61,Victoria,2,1.0378336010145213
62,Victoria,3,1.954076574549805
63,Victoria,4,2.429010992003663
64,Victoria,5,1.7600319093856789
65,Victoria,6,3.2179670407146523
66,Victoria,7,1.1933002558099965
67,Victoria,8,1.5549450606043955
68,Victoria,9,0.9563186838717949
69,Victoria,10,2.6283764665668206
70,Victoria,11,2.8271611760311357
71,Victoria,12,3.244097842123361
72,Western Australia,1,1.1887754095560723
73,Western Australia,2,0.662214510455665
74,Western Australia,3,1.4709374087410254
75,Western Australia,4,1.0448066905130617
76,Western Australia,5,0.7897664094397816
77,Western Australia,6,1.5701358449582028
78,Western Australia,7,0.9489331617281829
79,Western Australia,8,1.045848925303873
80,Western Australia,9,0.7692058537638453
81,Western Australia,10,0.17980584577004755
82,Western Australia,11,0.680992688523511
83,Western Australia,12,0.2843462440509657
