,officialnamestate,Month,TemperatureMean
0,New South Wales,1,23.354618142017813
1,New South Wales,2,23.11714829059496
2,New South Wales,3,21.85947259378789
3,New South Wales,4,16.10581852925754
4,New South Wales,5,11.320614287097822
5,New South Wales,6,10.419023755237045
6,New South Wales,7,10.17082432089604
7,New South Wales,8,11.941666864217574
8,New South Wales,9,15.960422001933487
9,New South Wales,10,17.569790866475564
10,New South Wales,11,20.618010802784223
11,New South Wales,12,23.62837072586633
12,Queensland,1,26.065720387572156
13,Queensland,2,25.956765671503756
14,Queensland,3,25.722981569066214
15,Queensland,4,22.793911963929826
16,Queensland,5,17.96241576533786
17,Queensland,6,18.442518530477194
18,Queensland,7,17.09886467183701
19,Queensland,8,19.13269872544652
20,Queensland,9,21.796642365087717
21,Queensland,10,24.31477501599321
22,Queensland,11,25.627111372842105
23,Queensland,12,27.33092044563667
24,South Australia,1,23.616798475628816
25,South Australia,2,23.670212884754562
26,South Australia,3,20.81845988460992
27,South Australia,4,17.044683375110132
28,South Australia,5,13.390502290464687
29,South Australia,6,12.334732305433187
30,South Australia,7,11.321093558462413
31,South Australia,8,13.131781713073753
32,South Australia,9,16.89327582201175
33,South Australia,10,16.953046121500638
34,South Australia,11,20.10163272856094
35,South Australia,12,21.370338061816117
36,Tasmania,1,16.186326540552994
37,Tasmania,2,15.522564111451247
38,Tasmania,3,13.620974105529953
39,Tasmania,4,12.309221546574074
40,Tasmania,5,9.46631779966206
41,Tasmania,6,8.7848234116409
42,Tasmania,7,9.225718936620584
43,Tasmania,8,8.84825904094895
44,Tasmania,9,10.363544753102646
45,Tasmania,10,10.302148371003584
46,Tasmania,11,13.030902573862434
47,Tasmania,12,14.582978094009215
48,Territories,1,27.513851880611902
49,Territories,2,27.504867095360826
50,Territories,3,27.75809721849019
51,Territories,4,25.185221835498282
52,Territories,5,20.615928256568008
53,Territories,6,21.253359686907217
54,Territories,7,19.586820479847024
55,Territories,8,22.65169686351846
56,Territories,9,25.5739489142268
57,Territories,10,27.688290703059526
58,Territories,11,29.126214097766322
59,Territories,12,30.774267870302626
60,Victoria,1,20.154756069797944
61,Victoria,2,19.199504746302985
62,Victoria,3,17.17012774406239
63,Victoria,4,13.723941139870329
64,Victoria,5,10.1652303180771
65,Victoria,6,9.42458599170784
66,Victoria,7,8.791213649344913
67,Victoria,8,9.561649663915277
68,Victoria,9,12.623093687496336
69,Victoria,10,12.846242900788727
70,Victoria,11,16.4753903296337
71,Victoria,12,18.326330481761786
72,Western Australia,1,25.189808831580546
73,Western Australia,2,25.871464292207794
74,Western Australia,3,23.965241131712006
75,Western Australia,4,18.564805696969696
76,Western Australia,5,16.731254102669634
77,Western Australia,6,12.520493170647859
78,Western Australia,7,13.12877303016483
79,Western Australia,8,15.695335419455962
80,Western Australia,9,18.793963005903866
81,Western Australia,10,21.475320746081504
82,Western Australia,11,23.737718660397075
83,Western Australia,12,25.057825274951966
